TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
18425678545382,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678609777,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678654702,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678714239,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678755513,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678796553,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678844882,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678952574,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425679086366,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425679222535,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425679343604,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425679454575,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425679596727,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425679710646,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425679874461,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680048908,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680112107,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680143633,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680173988,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680213619,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425680256996,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
